Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,4.12553,0.0211424,0.45,0.475000,0.47192,0.000100954,0.4,0.375000,0.379415,9.17476e-05,140,7.24378,1.63767,7.00473,0.733186,0.72739,0.722562,0.0388618,17.3251,23.6299,15.6132,0.662609,21.7486,0.867152,131.166,72.0861,0.119909,0.145548,0.455717,0.408365,0.589389,0.455717,19.3016,17.0987,28.8771,25.3587,5.50148,3.62124,0.451091,0.361897,1.7652,-3.97711
4,4.42406,0.0131629,0.45,0.525000,0.520954,9.84993e-05,0.4,0.375000,0.382598,7.25191e-05,140,4.75391,1.48729,4.43501,0.657296,0.64434,0.633332,0.0582254,6.45748,9.82431,5.44865,0.440843,8.83612,0.554563,131.166,72.0861,0.0430679,0.047453,0.276075,0.130481,0.198676,0.276075,6.463,5.36271,9.69976,8.39911,4.95296,3.24789,0.494875,0.363551,1.72923,-5.93399
4,3.14662,0.00511752,0.45,0.325000,0.332181,7.09589e-05,0.4,0.425000,0.422281,9.78853e-05,140,4.17583,0.645429,3.74595,0.633065,0.612701,0.594656,0.0289672,14.9293,23.5826,14.6656,0.499324,23.2865,0.736399,131.166,72.0861,0.136499,0.0848702,1.21939,0.361572,0.339395,1.21939,23.509,22.7452,35.3698,33.8743,7.21268,4.41051,0.322146,0.409514,2.13269,16.0135
4,3.43295,0.0126214,0.45,0.375000,0.376323,0.000103471,0.4,0.425000,0.422825,9.976e-05,140,8.00708,1.20584,7.25069,0.750148,0.73335,0.718576,0.0250921,32.8984,43.8559,30.1598,0.786541,43.7021,1.02596,131.166,72.0861,0.306102,0.195908,2.12061,0.696358,0.791808,2.12061,43.4142,39.1378,66.1743,63.6967,6.57673,4.05195,0.362005,0.406607,2.05631,11.8582
4,3.72424,0.024851,0.45,0.425000,0.424778,0.000103532,0.4,0.425000,0.42353,0.00010223,140,5.34078,0.684287,4.97116,0.678828,0.665595,0.654238,0.0235284,32.8349,48.37,30.6236,0.831577,47.0718,1.14458,131.166,72.0861,0.31221,0.659808,1.67413,0.693722,1.97316,1.67413,44.4419,40.1333,68.2938,62.6955,5.9302,3.67294,0.407892,0.406028,1.97918,7.66256
4,3.94807,0.0310327,0.45,0.475000,0.473588,0.000101748,0.4,0.425000,0.424232,0.000100677,140,7.23971,1.29058,6.78162,0.733089,0.721749,0.712058,0.0306476,26.9291,36.7338,23.462,0.818455,34.6221,1.05447,131.166,72.0861,0.244627,0.284461,1.1554,0.85477,1.18497,1.1554,31.7315,27.0227,48.9659,43.4321,5.27414,3.27602,0.45162,0.403957,1.88405,2.48785
4,4.26043,0.0260455,0.45,0.525000,0.518897,8.93051e-05,0.4,0.425000,0.422628,9.3766e-05,140,6.93058,1.87109,6.5389,0.725541,0.71534,0.706589,0.0469817,12.3977,17.0876,10.6401,0.575671,15.3622,0.77122,131.166,72.0861,0.196886,0.13282,0.526649,0.806952,0.529562,0.526649,13.5941,11.3053,21.0109,17.246,4.83226,3.0072,0.491674,0.399184,1.8481,0.532398
4,3.35914,0.00744194,0.45,0.375000,0.378926,9.43523e-05,0.4,0.475000,0.466296,7.52501e-05,140,5.17738,1.04751,4.6615,0.673109,0.65364,0.636593,0.0373115,10.6974,15.8925,9.79311,0.430479,15.8128,0.605851,131.166,72.0861,0.114266,0.091424,0.723448,0.358726,0.356719,0.723448,13.966,12.5169,21.89,20.7948,6.39284,3.71239,0.36512,0.449794,2.20375,19.8787
4,3.62883,0.0151361,0.45,0.425000,0.426118,0.00010191,0.4,0.475000,0.470609,9.50706e-05,140,4.53623,0.743297,4.04539,0.648557,0.627116,0.608069,0.0306021,16.0494,24.7463,14.9398,0.552856,24.3022,0.79797,131.166,72.0861,0.225727,0.228199,1.25258,0.746377,0.878595,1.25258,23.2054,20.9448,36.8406,33.7604,5.77316,3.35219,0.408574,0.450848,2.13596,16.1911
4,3.91519,0.0266493,0.45,0.475000,0.472995,9.5696e-05,0.4,0.475000,0.470719,9.34621e-05,140,4.97036,0.880345,4.48402,0.665565,0.646394,0.629312,0.0328212,15.5868,23.4189,14.829,0.551698,23.1345,0.804117,131.166,72.0861,0.24009,0.276428,1.20143,0.908672,1.06417,1.20143,20.1299,18.4841,32.2188,29.1133,5.24565,3.0539,0.450201,0.447433,2.0763,12.946
